stID	tsID	popID	filename	description	citation	URL	total_N	steps	interval_MY	trait_type	log_transformed	taxa	species	microfossil	sampling	age_model	sediment	environment	period_start	period_end	epoch_start	epoch_end	age_start	age_end	source	publication_year	signature	lat	lon	set
80	503	80_c	Kellog_1980_hug_cort_area	Ommatartus hughesi lineage, cortical shell area	Kellogg, D. E. 1980. Character displacement and phyletic change in the evolution of the radiolarian subfamily Artiscinae. Micropaleontology 26:196-210.	http://www.jstor.org/stable/1485440	131	8	3	linear	no	radiolarian	Ommatartus hughesi lineage	yes	sediment core	NA	unknown	marine	Neogene	Neogene	Miocene	Miocene	Burdigalian	Tortonian	unknown	1980	unknown	4.946667	-175.066667	yes
80	502	80_d	Kellog_1980_hug_cort_length	Ommatartus hughesi lineage, cortical shell length	Kellogg, D. E. 1980. Character displacement and phyletic change in the evolution of the radiolarian subfamily Artiscinae. Micropaleontology 26:196-210.	http://www.jstor.org/stable/1485440	130	8	3	linear	no	radiolarian	Ommatartus hughesi lineage	yes	sediment core	NA	unknown	marine	Neogene	Neogene	Miocene	Miocene	Burdigalian	Tortonian	unknown	1980	unknown	4.946667	-175.066667	yes
80	501	80_b	Kellog_1980_hug_cort_width	Ommatartus hughesi lineage, cortical shell width	Kellogg, D. E. 1980. Character displacement and phyletic change in the evolution of the radiolarian subfamily Artiscinae. Micropaleontology 26:196-210.	http://www.jstor.org/stable/1485440	131	8	3	linear	no	radiolarian	Ommatartus_tetrathalamus	yes	sediment core	NA	unknown	marine	Neogene	Neogene	Miocene	Miocene	Burdigalian	Tortonian	unknown	1980	unknown	4.946667	-175.066667	yes
84	500	84_a	Kim_et_al_2009_logCS	Logarithm of centroid size (logCS). Sample interval in meters	Kim, K., H. D. Sheets, and C. E. Mitchell. 2009. Geographic and stratigraphic change in the morphology of Triarthrus beckii (Green) (Trilobita): A test of the Plus <8d>a change model of evolution. Lethaia 42:108-125.	https://doi-org.ezproxy.uio.no/10.1111/j.1502-3931.2008.00144.x	218	18	3	area	yes	trilobite	Triarthrus_beckii	no	geological fieldwork	NA	mixed	marine	Ordovician	Ordovician	Upper-Ordovician	Upper-Ordovician	Katian	Katian	unknown	2009	unknown	43.03454971	-74.83139014	no
79	499	79_a	Knappertsbusch_2000_core_236_diameter	Calcidiscus leptoporus, diameter (um). Core 236.	Knappertsbusch, M. 2000. Morphologic evolution of the coccolithophorid Calcidiscus leptoporus from the Early Miocene to recent. Journal of Paleontology 74:712-730.	http://www.jstor.org/stable/1306950	3320	18	18	linear	no	coccolith	Calcidiscus_leptoporus	yes	sediment core	NA	unknown	marine	Neogene	Quaternary	Miocene	Pleistocene	unknown	unknown	unknown	2000	unknown	-1.68	57.65	yes
79	498	79_a	Knappertsbusch_2000_core_236_element_number	Calcidiscus leptoporus, number of elements. Core 236.	Knappertsbusch, M. 2000. Morphologic evolution of the coccolithophorid Calcidiscus leptoporus from the Early Miocene to recent. Journal of Paleontology 74:712-730.	http://www.jstor.org/stable/1306950	3320	18	18	count	no	coccolith	Calcidiscus_leptoporus	yes	sediment core	NA	unknown	marine	Neogene	Quaternary	Miocene	Pleistocene	unknown	unknown	unknown	2000	unknown	-1.68	57.65	yes
79	497	79_a	Knappertsbusch_2000_core_251_251A_diameter	Calcidiscus leptoporus, diameter (um). Core 251 & 251A.	Knappertsbusch, M. 2000. Morphologic evolution of the coccolithophorid Calcidiscus leptoporus from the Early Miocene to recent. Journal of Paleontology 74:712-730.	http://www.jstor.org/stable/1306950	5685	29	14.98	linear	no	coccolith	Calcidiscus_leptoporus	yes	sediment core	NA	unknown	marine	Neogene	Quaternary	Miocene	Pleistocene	unknown	unknown	unknown	2000	unknown	-36.5	49.48	yes
79	496	79_a	Knappertsbusch_2000_core_251_251A_element_number	Calcidiscus leptoporus, number of elements. Core 251 & 251A.	Knappertsbusch, M. 2000. Morphologic evolution of the coccolithophorid Calcidiscus leptoporus from the Early Miocene to recent. Journal of Paleontology 74:712-730.	http://www.jstor.org/stable/1306950	5685	29	14.98	count	no	coccolith	Calcidiscus_leptoporus	yes	sediment core	NA	unknown	marine	Neogene	Quaternary	Miocene	Pleistocene	unknown	unknown	unknown	2000	unknown	-36.5	49.48	yes
79	495	79_a	Knappertsbusch_2000_core_V16-205_diameter	Calcidiscus leptoporus, diameter (um). Core V16-205.	Knappertsbusch, M. 2000. Morphologic evolution of the coccolithophorid Calcidiscus leptoporus from the Early Miocene to recent. Journal of Paleontology 74:712-730.	http://www.jstor.org/stable/1306950	2216	12	1.83	linear	no	coccolith	Calcidiscus_leptoporus	yes	sediment core	NA	unknown	marine	Quaternary	Quaternary	unknown	unknown	unknown	unknown	unknown	2000	unknown	15.4	-43.4	yes
79	494	79_a	Knappertsbusch_2000_core_V16-205_element_number	Calcidiscus leptoporus, number of elements. Core V16-205.	Knappertsbusch, M. 2000. Morphologic evolution of the coccolithophorid Calcidiscus leptoporus from the Early Miocene to recent. Journal of Paleontology 74:712-730.	http://www.jstor.org/stable/1306950	2216	12	1.83	count	no	coccolith	Calcidiscus_leptoporus	yes	sediment core	NA	unknown	marine	Quaternary	Quaternary	unknown	unknown	unknown	unknown	unknown	2000	unknown	15.4	-43.4	yes
