N;trait_mean;trait_var;age_MY;tsID;age_MY_min;age_MY_max
50;0.280574588361839;0.00327014980289218;0;1311;0;0
6;0.310902429253993;0.0013011985859432;0,5055;1311;0.478;0.533
16;0.288834607041394;0.0039197002125059;0,6485;1311;0.621;0.676
15;0.312930662156625;0.00510801953002901;0,9265;1311;0.917;0.936
4;0.293012696676245;0.0118826291182725;1,109;1311;1.104;1.114
1;0.170517028384318;0;1,729;1311;1.715;1.743
1;0.20062264951007;0;1,829;1311;1.826;1.832
4;0.235978703907648;0.00262395356789313;1,966;1311;1.915;2.017
8;0.280571532308971;0.00203793836372696;2,1895;1311;2.088;2.291
50;0.235198044634934;0.0027867154403093;0;1312;0;0
6;0.248303642751382;0.000148750721790375;0,5055;1312;0.478;0.533
16;0.242990581333234;0.0028965065800724;0,6485;1312;0.621;0.676
15;0.254235719964088;0.00315090915009824;0,9265;1312;0.917;0.936
4;0.242955125431792;0.00841855158237857;1,109;1312;1.104;1.114
1;0.15624980301464;0;1,729;1312;1.715;1.743
1;0.156431506856788;0;1,829;1312;1.826;1.832
4;0.171936057253967;0.000462503885124714;1,966;1312;1.915;2.017
8;0.235155231781372;0.00121194759071505;2,1895;1312;2.088;2.291
69;7.5843561659357;0.0418742463576052;0;1313;0;0
1;7.54701675023145;0;0,399;1313;0.374;0.424
8;7.66391429841755;0.0381856872520291;0,5055;1313;0.478;0.533
33;7.71441668934963;0.0242083908484131;0,6485;1313;0.621;0.676
32;7.73156882173804;0.0395903802741218;0,9265;1313;0.917;0.936
7;7.74397246904173;0.0383528827178189;1,109;1313;1.104;1.114
2;7.50442524041632;0.00304002930045178;1,729;1313;1.715;1.743
4;7.40686045923029;0.00267490550420754;1,829;1313;1.826;1.832
1;7.49811833870371;0;1,8505;1313;1.826;1.875
4;7.86702776728834;0.0424147882859045;1,966;1313;1.915;2.017
9;7.74073983321387;0.0128911480525024;2,1895;1313;2.088;2.291
1;7.98924464901182;0;2,4645;1313;2.452;2.477
69;0.0556931610992041;3.67413612864259e-05;0;1314;0;0
1;0.0517127436482781;0;0,399;1314;0.374;0.424
8;0.057355640211263;3.05553343043248e-05;0,5055;1314;0.478;0.533
33;0.0585845257519203;2.09905031012129e-05;0,6485;1314;0.621;0.676
32;0.058488693713583;3.53468672041209e-05;0,9265;1314;0.917;0.936
7;0.0586951903465987;3.80543798422216e-05;1,109;1314;1.104;1.114
2;0.0517254724284744;3.52851187657826e-06;1,729;1314;1.715;1.743
