order,family,genus,species,binomial,adult_body_mass_g,adult_head_body_len_mm,gestation_days,litter_size,litters_per_year,max_longevity_months,weaning_age_days,neonate_body_mass_g,sexual_maturity_age_days,diet_breadth,habitat_breadth,trophic_level,home_range_km2,pop_density_per_km2,geog_range_km2
Rodentia,Geomyidae,Cratogeomys,gymnurus,Cratogeomys gymnurus,599.99,,,,,,,,,3,2,1,,,12710.83
Rodentia,Geomyidae,Cratogeomys,merriami,Cratogeomys merriami,419.99,,,1.94,,,,,,3,2,1,,,17777.06
Rodentia,Geomyidae,Cratogeomys,neglectus,Cratogeomys neglectus,302.48,192.53,,1.94,,,,,,3,2,1,,,151.95
Rodentia,Geomyidae,Cratogeomys,tylorhinus,Cratogeomys tylorhinus,403.42,214.74,,1.94,,,,,,4,2,1,,,32204.11
Rodentia,Geomyidae,Cratogeomys,zinseri,Cratogeomys zinseri,150.0,,,,,,,,,3,2,1,,,557.24
Rodentia,Nesomyidae,Cricetomys,emini,Cricetomys emini,1280.0,,,0.97,,,,,,,1,,,,2945905.07
Rodentia,Nesomyidae,Cricetomys,gambianus,Cricetomys gambianus,1267.52,362.64,31.45,3.11,2.0,,34.54,22.68,177.08,,,,,,
Soricomorpha,Soricidae,Crocidura,tarfayensis,Crocidura tarfayensis,6.59,63.79,,,,,,,,,,,,,677846.6
Soricomorpha,Soricidae,Crocidura,theresae,Crocidura theresae,17.6,,,,,,,,,,,,,,591924.42
Soricomorpha,Soricidae,Crocidura,turba,Crocidura turba,14.49,,,2.0,,,,,,,,,,,4351979.87
Soricomorpha,Soricidae,Crocidura,ultima,Crocidura ultima,16.0,,,,,,,,,,,,,,28532.21
Soricomorpha,Soricidae,Crocidura,usambarae,Crocidura usambarae,11.83,79.72,,1.99,,,,,,,,,,,4845.06
Soricomorpha,Soricidae,Crocidura,viaria,Crocidura viaria,16.49,88.8,,3.49,,,,1.39,,,,,,,4924759.49
Soricomorpha,Soricidae,Crocidura,whitakeri,Crocidura whitakeri,5.58,61.2,,,,,,,,,,,,,1111959.91
Soricomorpha,Soricidae,Crocidura,wimmeri,Crocidura wimmeri,23.5,,,,,,,,,,,,,,152.56
Soricomorpha,Soricidae,Crocidura,yankariensis,Crocidura yankariensis,4.99,,,,,,,,,,,,,,3217670.38
Soricomorpha,Soricidae,Crocidura,zimmeri,Crocidura zimmeri,14.49,,,,,,,,,,,,,,671.11
Carnivora,Hyaenidae,Crocuta,crocuta,Crocuta crocuta,63369.98,1300.11,112.33,1.91,,493.2,371.37,1460.0,789.54,1,1,3,21.93,0.12,14790149.69
Carnivora,Herpestidae,Crossarchus,alexandri,Crossarchus alexandri,1503.4,448.99,,4.0,,,,,,,1,,,,1464819.63
Carnivora,Herpestidae,Crossarchus,ansorgei,Crossarchus ansorgei,700.0,325.52,,,,,,,,6,1,2,,,604251.42
Carnivora,Herpestidae,Crossarchus,obscurus,Crossarchus obscurus,1395.09,338.98,70.0,4.29,2.5,108.0,29.23,9.78,278.42,6,1,2,,,438210.83
Rodentia,Muridae,Crossomys,moncktoni,Crossomys moncktoni,168.42,193.61,,1.07,,,,,,2,3,3,,,47340.55
Rodentia,Bathyergidae,Cryptomys,amatus,Cryptomys amatus,76.74,,95.0,,,,,,,,,,,,
Rodentia,Bathyergidae,Cryptomys,anselli,Cryptomys anselli,85.59,,,,,,,,,,,,,,
Rodentia,Bathyergidae,Cryptomys,bocagei,Cryptomys bocagei,93.84,,,,,,,,,,,,,,754390.24
Rodentia,Bathyergidae,Cryptomys,damarensis,Cryptomys damarensis,112.2,,83.55,3.0,4.0,,18.02,8.49,,1,1,1,0.01,,1869675.78
Rodentia,Bathyergidae,Cryptomys,darlingi,Cryptomys darlingi,65.58,,57.82,1.84,,,27.28,7.54,,,1,,,,
Rodentia,Bathyergidae,Cryptomys,hottentotus,Cryptomys hottentotus,75.13,,84.99,2.48,2.0,,32.07,8.24,472.6,1,2,1,0.001455832,816.08,3174641.7
Rodentia,Bathyergidae,Cryptomys,mechowi,Cryptomys mechowi,271.54,,104.0,2.6,,,38.49,18.77,,1,1,1,,,1436768.44
Rodentia,Bathyergidae,Cryptomys,ochraceocinereus,Cryptomys ochraceocinereus,200.0,,,3.0,2.0,,,,,,,,,,1268391.62
Carnivora,Eupleridae,Cryptoprocta,ferox,Cryptoprocta ferox,9500.0,726.04,92.54,2.98,1.0,240.0,136.1,99.96,1262.74,2,3,3,0.75,0.88,214312.12
Soricomorpha,Soricidae,Cryptotis,goldmani,Cryptotis goldmani,6.73,,,,,,,,,,,,,115.15,
Soricomorpha,Soricidae,Cryptotis,goodwini,Cryptotis goodwini,7.0,94.91,,,,,,,,,2,,,,52453.87
Soricomorpha,Soricidae,Cryptotis,magna,Cryptotis magna,7.0,84.99,,2.99,,,,,,,1,,,,10152.68
Soricomorpha,Soricidae,Cryptotis,meridensis,Cryptotis meridensis,12.63,,,,,,,,,1,2,3,,104.61,27050.11
Soricomorpha,Soricidae,Cryptotis,mexicana,Cryptotis mexicana,7.0,60.99,,2.99,,,,,,,1,,,,68045.83
Soricomorpha,Soricidae,Cryptotis,montivaga,Cryptotis montivaga,11.29,79.6,,,,,,,,1,,3,,,25609.05
Soricomorpha,Soricidae,Cryptotis,nigrescens,Cryptotis nigrescens,8.32,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Cryptotis,parva,Cryptotis parva,4.97,67.99,21.99,4.55,2.5,21.0,20.34,0.35,35.44,6,1,2,0.001442322,493.99,4102791.8
Soricomorpha,Soricidae,Cryptotis,squamipes,Cryptotis squamipes,11.0,,,,,,,,,1,,3,,,18765.47
Soricomorpha,Soricidae,Cryptotis,thomasi,Cryptotis thomasi,11.77,,,,,,,,,1,,3,,,32860.44
Rodentia,Ctenodactylidae,Ctenodactylus,gundi,Ctenodactylus gundi,288.41,208.0,65.96,2.0,,,,29.89,169.03,,,,,,324162.5
Rodentia,Ctenodactylidae,Ctenodactylus,vali,Ctenodactylus vali,173.6,176.0,59.13,2.0,,60.0,,17.9,340.64,3,,1,,,269951.32
Rodentia,Ctenomyidae,Ctenomys,argentinus,Ctenomys argentinus,221.3,,,,,,,,,3,1,1,,,23664.72
Rodentia,Ctenomyidae,Ctenomys,australis,Ctenomys australis,403.32,,,,,,,,,3,2,1,,,23805.63
Rodentia,Ctenomyidae,Ctenomys,azarae,Ctenomys azarae,400.0,,,,,,,,,3,1,1,,,7836.88
Rodentia,Ctenomyidae,Ctenomys,boliviensis,Ctenomys boliviensis,462.6,221.1,,,,,,,,3,2,1,,,70023.94
Rodentia,Ctenomyidae,Ctenomys,bonettoi,Ctenomys bonettoi,202.3,,,,,,,,,3,1,1,,,8251.77
Rodentia,Ctenomyidae,Ctenomys,colburni,Ctenomys colburni,400.0,,,,,,,,,3,1,1,,,22326.04
Rodentia,Ctenomyidae,Ctenomys,conoveri,Ctenomys conoveri,859.99,258.5,,,,,,,,3,2,1,,,78001.32
Rodentia,Ctenomyidae,Ctenomys,dorsalis,Ctenomys dorsalis,165.6,200.0,,,,,,,,3,1,1,,,11182.33
Rodentia,Ctenomyidae,Ctenomys,emilianus,Ctenomys emilianus,285.29,,,,,,,,,3,1,1,,,9676.88
Rodentia,Ctenomyidae,Ctenomys,frater,Ctenomys frater,172.9,188.3,,,,,,,,3,2,1,,,5398.92
Rodentia,Ctenomyidae,Ctenomys,fulvus,Ctenomys fulvus,279.88,,,,,,,,,3,2,1,,,
Rodentia,Ctenomyidae,Ctenomys,haigi,Ctenomys haigi,164.0,173.49,,,,,,,,,2,,3.29744e-05,,25958.86
Rodentia,Ctenomyidae,Ctenomys,knighti,Ctenomys knighti,316.0,,,,,,,,,3,1,1,,,20864.38
Rodentia,Ctenomyidae,Ctenomys,latro,Ctenomys latro,192.0,,,,,,,,,3,1,1,,,19561.91
Rodentia,Ctenomyidae,Ctenomys,leucodon,Ctenomys leucodon,243.6,,,,,,,,,3,2,1,,,52340.92
Rodentia,Ctenomyidae,Ctenomys,lewisi,Ctenomys lewisi,117.2,177.5,,,,,,,,3,3,1,,,8824.32
Rodentia,Ctenomyidae,Ctenomys,magellanicus,Ctenomys magellanicus,271.44,216.0,,,,,,,,3,2,1,,,106225.77
Rodentia,Ctenomyidae,Ctenomys,maulinus,Ctenomys maulinus,215.0,,,,,,,,,3,2,1,,,51536.0
Rodentia,Ctenomyidae,Ctenomys,mendocinus,Ctenomys mendocinus,178.44,,,,,,,,,3,1,1,,,
Rodentia,Ctenomyidae,Ctenomys,minutus,Ctenomys minutus,92.0,156.99,,,,,,,,3,2,1,,,108713.49
Rodentia,Ctenomyidae,Ctenomys,occultus,Ctenomys occultus,150.0,,,,,,,,,3,1,1,,,4611.74
