order,family,genus,species,binomial,adult_body_mass_g,adult_head_body_len_mm,gestation_days,litter_size,litters_per_year,max_longevity_months,weaning_age_days,neonate_body_mass_g,sexual_maturity_age_days,diet_breadth,habitat_breadth,trophic_level,home_range_km2,pop_density_per_km2,geog_range_km2
Primates,Lorisidae,Nycticebus,bengalensis,Nycticebus bengalensis,1137.36,,,,,,,,,,,,,,1941260.0
Primates,Lorisidae,Nycticebus,coucang,Nycticebus coucang,924.55,300.0,191.09,1.12,,318.0,181.21,50.47,660.82,6,1,2,,20.0,1504921.1
Primates,Lorisidae,Nycticebus,pygmaeus,Nycticebus pygmaeus,342.32,,185.42,1.75,,,,19.89,,,,,,,262116.82
Chiroptera,Vespertilionidae,Nycticeinops,schlieffeni,Nycticeinops schlieffeni,5.05,,78.63,2.54,1.0,,,,,1,1,3,,,13760621.45
Chiroptera,Vespertilionidae,Nycticeius,humeralis,Nycticeius humeralis,9.12,,,1.94,1.0,60.0,28.28,1.73,,,1,,,,2889477.8
Chiroptera,Pteropodidae,Nyctimene,aello,Nyctimene aello,85.26,121.55,,0.98,,,,,,,1,,,,390567.59
Chiroptera,Pteropodidae,Nyctimene,albiventer,Nyctimene albiventer,29.95,82.32,,0.98,2.0,,,,,1,1,1,,,527482.57
Chiroptera,Pteropodidae,Nyctimene,cephalotes,Nyctimene cephalotes,44.92,94.7,,0.98,,,,,,,1,,,,251382.79
Chiroptera,Pteropodidae,Nyctimene,certans,Nyctimene certans,43.24,86.36,,,,,,,,,1,,,,122392.34
Chiroptera,Pteropodidae,Nyctimene,cyclotis,Nyctimene cyclotis,48.83,,,,,,,,,,1,,,,259281.47
Chiroptera,Pteropodidae,Nyctimene,draconilla,Nyctimene draconilla,30.15,110.0,,,,,,,,3,1,2,,,78720.86
Chiroptera,Pteropodidae,Nyctimene,major,Nyctimene major,107.06,134.03,,,,,,,,,1,,,,36810.07
Chiroptera,Pteropodidae,Nyctimene,malaitensis,Nyctimene malaitensis,78.39,119.69,,,,,,,,,1,,,,3870.66
Chiroptera,Pteropodidae,Nyctimene,masalai,Nyctimene masalai,53.2,,,,,,,,,,1,,,,7066.71
Chiroptera,Pteropodidae,Nyctimene,rabori,Nyctimene rabori,68.25,,138.16,1.0,1.0,,105.0,,295.82,1,1,1,,30.0,17815.16
Chiroptera,Pteropodidae,Nyctimene,robinsoni,Nyctimene robinsoni,48.83,,,0.99,1.0,,,,,1,1,1,,,351920.41
Chiroptera,Pteropodidae,Nyctimene,vizcaccia,Nyctimene vizcaccia,41.96,93.93,,,,,,,,,1,,,,33659.02
Chiroptera,Molossidae,Nyctinomops,aurispinosus,Nyctinomops aurispinosus,18.43,,,1.0,,,,,,1,1,3,,,12349250.02
Chiroptera,Molossidae,Nyctinomops,femorosaccus,Nyctinomops femorosaccus,15.04,,,0.99,1.0,,,,,1,1,3,,,1257778.48
Chiroptera,Molossidae,Nyctinomops,laticaudatus,Nyctinomops laticaudatus,13.12,,,0.99,1.0,,,4.01,,,1,,,,13392624.04
Chiroptera,Molossidae,Nyctinomops,macrotis,Nyctinomops macrotis,16.38,,,0.99,1.0,,,4.94,,1,1,3,,,18149920.2
Rodentia,Cricetidae,Nyctomys,sumichrasti,Nyctomys sumichrasti,59.99,,33.98,2.0,8.57,62.4,24.85,4.33,,6,1,1,,,635794.61
Chiroptera,Vespertilionidae,Nyctophilus,arnhemensis,Nyctophilus arnhemensis,6.83,,,,,,,,,,1,,,,794833.68
Chiroptera,Vespertilionidae,Nyctophilus,bifax,Nyctophilus bifax,9.89,,,2.0,,,,,,,,,,,1481223.75
Chiroptera,Vespertilionidae,Nyctophilus,gouldi,Nyctophilus gouldi,11.32,,22.94,1.54,,,44.34,1.65,326.81,1,1,3,,,880409.98
Chiroptera,Vespertilionidae,Nyctophilus,microtis,Nyctophilus microtis,7.29,,,,,,,,,,1,,,,284169.97
Lagomorpha,Ochotonidae,Ochotona,rufescens,Ochotona rufescens,250.0,197.49,25.75,6.05,4.0,,19.09,11.4,61.02,,2,,,5999.99,1022901.97
Rodentia,Cricetidae,Ochrotomys,nuttalli,Ochrotomys nuttalli,22.81,92.18,29.1,2.62,,30.0,20.84,2.7,,3,2,2,0.003362546,302.33,1448050.54
Rodentia,Octodontidae,Octodon,bridgesi,Octodon bridgesi,162.25,159.62,,,,,,,,3,1,1,,,102723.41
Rodentia,Octodontidae,Octodon,degus,Octodon degus,203.27,280.0,90.59,5.31,2.0,85.2,31.12,14.19,187.19,7,3,2,,1166.23,64949.08
Rodentia,Octodontidae,Octodon,lunatus,Octodon lunatus,200.55,,,,,,,,,2,,1,,,32534.97
Rodentia,Octodontidae,Octodontomys,gliroides,Octodontomys gliroides,155.77,,104.5,2.04,,88.0,,20.0,,2,2,1,,,396551.36
Rodentia,Octodontidae,Octomys,mimax,Octomys mimax,124.43,,,,,,,,,2,2,1,,,54799.69
Carnivora,Odobenidae,Odobenus,rosmarus,Odobenus rosmarus,1042996.25,2870.18,357.39,1.22,,480.0,591.36,59090.9,2315.02,6,2,2,,1.27,
Artiodactyla,Cervidae,Odocoileus,hemionus,Odocoileus hemionus,84560.57,1516.5,203.49,1.61,,264.0,73.49,3007.49,527.12,2,1,1,2.01,16.0,6310738.18
Artiodactyla,Cervidae,Odocoileus,virginianus,Odocoileus virginianus,75901.25,1513.69,201.39,1.57,,276.0,79.92,2949.99,365.0,4,1,1,1.99,17.32,14446002.22
Rodentia,Cricetidae,Oecomys,bicolor,Oecomys bicolor,40.74,,,3.15,,,,,92.8,2,1,1,,44.46,7578892.12
Rodentia,Cricetidae,Oecomys,cleberi,Oecomys cleberi,73.4,,,,,,,,,,,,,,5781.47
Rodentia,Cricetidae,Onychomys,leucogaster,Onychomys leucogaster,27.92,103.46,31.63,3.84,3.8,60.0,22.82,2.3,107.71,4,2,2,0.02,,3797199.74
Rodentia,Cricetidae,Onychomys,torridus,Onychomys torridus,21.68,94.8,28.37,3.3,2.5,55.2,19.86,2.33,56.02,1,2,3,0.01,158.55,769659.21
Cetacea,Delphinidae,Orcaella,brevirostris,Orcaella brevirostris,189999.99,2500.0,425.83,1.0,,,,,,1,1,3,,37.36,
Cetacea,Delphinidae,Orcinus,orca,Orcinus orca,5628758.66,8652.64,456.25,1.0,,1200.0,415.76,158745.07,4989.76,2,1,3,79244.72,,
Artiodactyla,Bovidae,Oreamnos,americanus,Oreamnos americanus,72105.4,1297.33,181.24,1.4,,230.04,84.86,3080.81,964.59,2,1,1,18.17,,1137827.98
Primates,Atelidae,Oreonax,flavicauda,Oreonax flavicauda,8229.12,550.38,225.0,1.0,,,,,1683.65,4,2,1,,6.46,33168.59
Artiodactyla,Bovidae,Oreotragus,oreotragus,Oreotragus oreotragus,13486.55,824.99,214.0,0.98,,213.96,136.87,1130.0,371.23,4,1,1,,2.62,5375303.33
Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Ornithorhynchus anatinus,1484.25,419.18,12.48,2.0,,264.0,120.97,,742.46,1,3,3,0.07,,547828.42
Rodentia,Geomyidae,Orthogeomys,cavator,Orthogeomys cavator,650.0,,,,,,,,,3,2,1,,,767.26
Rodentia,Geomyidae,Orthogeomys,cuniculus,Orthogeomys cuniculus,499.99,,,,,,,,,3,2,1,,,609.71
Rodentia,Geomyidae,Orthogeomys,dariensis,Orthogeomys dariensis,437.99,,,,,,,,,3,2,1,,,30081.13
Rodentia,Geomyidae,Orthogeomys,grandis,Orthogeomys grandis,499.99,,,,,,,,,3,2,1,,,152714.59
Rodentia,Geomyidae,Orthogeomys,heterodus,Orthogeomys heterodus,615.0,,,,,,,,,3,2,1,,,1199.44
Rodentia,Geomyidae,Orthogeomys,hispidus,Orthogeomys hispidus,499.99,,,1.97,,,,,,3,2,1,,,399397.84
Rodentia,Geomyidae,Orthogeomys,lanius,Orthogeomys lanius,499.99,,,,,,,,,3,2,1,,,197.18
Rodentia,Geomyidae,Orthogeomys,underwoodi,Orthogeomys underwoodi,250.0,,,,,,,,,3,2,1,,,4894.08
Tubulidentata,Orycteropodidae,Orycteropus,afer,Orycteropus afer,56175.2,1254.43,222.05,1.1,1.0,288.0,40.92,1899.68,755.15,1,2,3,,,18035652.33
Lagomorpha,Leporidae,Oryctolagus,cuniculus,Oryctolagus cuniculus,1590.57,400.0,30.45,5.24,4.5,216.0,26.3,39.11,185.61,2,,1,0.04,357.9,2293893.27
Artiodactyla,Bovidae,Oryx,beisa,Oryx beisa,200576.52,,,,,240.0,,,,,,,,1.38,1255430.97
Artiodactyla,Bovidae,Oryx,dammah,Oryx dammah,199798.95,1910.0,248.0,1.0,,245.04,,9706.02,,5,1,1,,,214297.23
Artiodactyla,Bovidae,Oryx,gazella,Oryx gazella,188404.45,1615.0,273.75,1.0,,240.0,,12055.49,841.82,5,1,1,,9.88,4613581.92
Artiodactyla,Bovidae,Oryx,leucoryx,Oryx leucoryx,75788.24,,239.99,1.0,,240.0,58.46,,,5,1,1,,,
Rodentia,Cricetidae,Oryzomys,albigularis,Oryzomys albigularis,60.5,,,3.4,,,,,,,1,,,,307051.75
Rodentia,Cricetidae,Oryzomys,alfaroi,Oryzomys alfaroi,33.3,,,3.59,,,,,,,,,,,846631.39
Rodentia,Cricetidae,Oryzomys,angouya,Oryzomys angouya,120.17,,,,,,,,,,,,,,1166871.44
Rodentia,Cricetidae,Oryzomys,auriventer,Oryzomys auriventer,60.5,,,,,,,,,,,,,,11759.41
Rodentia,Cricetidae,Oryzomys,balneator,Oryzomys balneator,60.5,,,,,,,,,,,,,,48034.34
Rodentia,Cricetidae,Oryzomys,bolivaris,Oryzomys bolivaris,60.5,116.02,,3.23,,,,,,3,1,2,,,333553.36
Rodentia,Cricetidae,Oryzomys,chapmani,Oryzomys chapmani,49.99,,,,,,,,,,,,,,140377.69
Rodentia,Cricetidae,Oryzomys,couesi,Oryzomys couesi,69.29,,,3.63,,,,,,,,,,221.39,1396062.11
Rodentia,Cricetidae,Oryzomys,subflavus,Oryzomys subflavus,49.91,160.0,,4.37,,,28.0,5.89,,2,1,1,,88.57,2458840.81
Rodentia,Cricetidae,Oryzomys,talamancae,Oryzomys talamancae,54.99,,,,,,,,,3,1,2,,,380181.6
Rodentia,Cricetidae,Oryzomys,xanthaeolus,Oryzomys xanthaeolus,79.79,,,,,,,,,,,,,,317397.1
Rodentia,Cricetidae,Oryzomys,yunganus,Oryzomys yunganus,60.5,,,,,,,,,,,,,,5333191.6
Afrosoricida,Tenrecidae,Oryzorictes,hova,Oryzorictes hova,35.74,103.33,,,,,,,,,2,,,,48829.19
Afrosoricida,Tenrecidae,Oryzorictes,tetradactylus,Oryzorictes tetradactylus,35.99,107.5,,,,,,,,,,,,,13130.86
Rodentia,Cricetidae,Osgoodomys,banderanus,Osgoodomys banderanus,49.99,,,1.68,,,,,,,2,,,504.14,180754.44
Carnivora,Otariidae,Otaria,flavescens,Otaria flavescens,193670.53,2112.38,311.55,1.0,,297.6,363.96,12819.99,1860.83,6,2,2,,,
Carnivora,Canidae,Otocyon,megalotis,Otocyon megalotis,4098.12,537.63,67.54,4.0,2.0,165.6,42.46,120.7,420.91,1,1,3,1.13,1.18,5001822.67
Primates,Galagidae,Otolemur,crassicaudatus,Otolemur crassicaudatus,1206.61,307.0,131.04,1.14,,225.6,124.62,46.57,609.86,5,,2,0.06,87.99,4121059.44
Primates,Galagidae,Otolemur,garnettii,Otolemur garnettii,811.17,,132.24,1.02,,204.0,139.2,49.21,592.15,3,,2,0.12,38.0,781284.4
Primates,Galagidae,Otolemur,monteiri,Otolemur monteiri,1577.16,,,2.1,,,,,,,,,,,2353122.58
Chiroptera,Molossidae,Otomops,martiensseni,Otomops martiensseni,34.92,,92.54,0.99,1.0,,,7.99,371.23,2,1,2,,,6798311.47
Rodentia,Muridae,Otomys,angoniensis,Otomys angoniensis,100.64,150.24,,2.86,,,15.9,,59.86,2,1,1,,2630.74,2273967.96
Rodentia,Muridae,Otomys,denti,Otomys denti,120.0,,,1.59,,,,20.0,,,,,,,172854.74
Rodentia,Muridae,Otomys,irroratus,Otomys irroratus,114.45,163.48,40.52,1.65,3.75,,12.96,13.42,113.59,2,2,1,0.001303714,3004.04,788942.43
Rodentia,Muridae,Otomys,laminatus,Otomys laminatus,150.0,,,,,,,,,,,,,,128843.81
Rodentia,Muridae,Otomys,maximus,Otomys maximus,192.0,182.45,,3.7,,,,,,,,,,,525387.84
Chiroptera,Vespertilionidae,Otonycteris,hemprichii,Otonycteris hemprichii,21.98,64.6,,1.38,,,,,,2,1,3,,,2428735.89
Rodentia,Cricetidae,Otonyctomys,hatti,Otonyctomys hatti,36.2,,,,,,,,,,,,,,111895.25
Chiroptera,Pteropodidae,Otopteropus,cartilagonodus,Otopteropus cartilagonodus,16.92,,,0.99,1.5,,,,,,1,,,,36.68
Rodentia,Cricetidae,Ototylomys,phyllotis,Ototylomys phyllotis,86.94,152.54,52.74,2.2,,,67.72,10.19,28.18,3,3,1,,,502791.46
Artiodactyla,Bovidae,Ourebia,ourebi,Ourebia ourebi,17186.09,1160.0,210.5,0.98,,189.96,136.87,2196.14,372.09,3,1,1,,2.43,8258056.75
Artiodactyla,Bovidae,Ovibos,moschatus,Ovibos moschatus,312500.0,,256.26,1.01,,288.0,254.48,10444.11,1262.74,2,1,1,,0.31,1615605.88
Artiodactyla,Bovidae,Ovis,ammon,Ovis ammon,113998.72,1585.0,165.0,1.22,,180.96,76.61,3232.64,555.47,2,1,1,4.59,0.02,10939816.94
Artiodactyla,Bovidae,Ovis,aries,Ovis aries,39097.89,1297.23,152.54,1.19,,230.04,182.5,2376.24,831.62,2,,1,,,
Artiodactyla,Bovidae,Ovis,canadensis,Ovis canadensis,74644.87,1565.5,177.49,1.16,,288.0,130.8,4115.85,761.25,2,1,1,18.94,1.48,2457850.19
Artiodactyla,Bovidae,Ovis,dalli,Ovis dalli,70194.13,1415.02,172.49,1.22,,192.0,121.66,3499.99,748.37,2,1,1,10.15,,1014237.16
Artiodactyla,Bovidae,Ovis,nivicola,Ovis nivicola,90000.0,,,1.0,,,,,841.82,,,,,,1645753.65
Rodentia,Cricetidae,Oxymycterus,akodontius,Oxymycterus akodontius,67.99,,,,,,,,,,1,,,,32016.42
Rodentia,Cricetidae,Oxymycterus,angularis,Oxymycterus angularis,67.99,,,,,,,,,1,,3,,,459009.16
Rodentia,Cricetidae,Oxymycterus,delator,Oxymycterus delator,81.49,,,,,,,,,,,,,,37329.03
Rodentia,Cricetidae,Oxymycterus,hiska,Oxymycterus hiska,67.99,,,,,,,,,1,,3,,,8134.63
Rodentia,Cricetidae,Oxymycterus,hispidus,Oxymycterus hispidus,36.75,,,,,,,,,1,,3,,,890655.72
Rodentia,Cricetidae,Oxymycterus,hucucha,Oxymycterus hucucha,67.99,,,,,,,,,1,,3,,,7184.44
Rodentia,Cricetidae,Oxymycterus,inca,Oxymycterus inca,34.99,,,,,,,,,1,,3,,,463452.89
Rodentia,Cricetidae,Oxymycterus,nasutus,Oxymycterus nasutus,67.99,,,,,,,,,1,,3,,,620356.18
Rodentia,Cricetidae,Oxymycterus,paramensis,Oxymycterus paramensis,41.99,,,,,,,,,1,2,3,,,250661.84
Rodentia,Cricetidae,Oxymycterus,roberti,Oxymycterus roberti,83.71,100.0,,,,,,,,1,,3,,266.61,993777.99
Rodentia,Cricetidae,Oxymycterus,rufus,Oxymycterus rufus,82.01,,,2.51,2.6,31.2,13.94,,90.76,2,2,2,,549.17,
Artiodactyla,Cervidae,Ozotoceros,bezoarticus,Ozotoceros bezoarticus,34620.4,1224.74,220.38,1.0,,,362.93,2100.0,350.76,3,1,1,6.16,,3649669.28
Rodentia,Muridae,Pachyuromys,duprasi,Pachyuromys duprasi,47.5,,20.4,3.49,,52.8,33.62,,55.44,,,,,,1991861.84
Carnivora,Phocidae,Pagophilus,groenlandicus,Pagophilus groenlandicus,132250.0,1721.36,242.9,1.0,,504.0,11.45,10048.2,1862.3,6,2,2,,0.09,
Carnivora,Viverridae,Paguma,larvata,Paguma larvata,4300.0,633.11,,2.16,,216.0,109.13,,,6,1,2,2.88,,5422715.54
Primates,Hominidae,Pan,paniscus,Pan paniscus,35119.95,753.43,235.24,1.01,,576.0,1081.31,1399.53,5465.72,6,2,2,27.93,2.0,412936.11
Primates,Hominidae,Pan,troglodytes,Pan troglodytes,45000.0,796.09,231.49,1.05,,720.0,1260.81,1745.02,3897.96,6,2,2,10.85,1.63,1898947.6
Carnivora,Felidae,Panthera,leo,Panthera leo,158623.93,1835.16,108.74,2.75,2.0,360.0,197.86,1291.71,987.77,1,1,3,55.19,0.11,11237685.34
Carnivora,Felidae,Panthera,onca,Panthera onca,83943.09,1331.62,102.49,1.96,,276.0,156.6,817.3,1184.16,1,1,3,52.55,0.05,10500825.25
Carnivora,Felidae,Panthera,pardus,Panthera pardus,52399.99,1377.71,96.74,2.14,1.0,276.0,123.54,553.39,810.68,1,1,3,18.78,0.07,29348601.36
Carnivora,Felidae,Panthera,tigris,Panthera tigris,161914.66,1824.79,105.19,2.6,1.0,315.6,118.55,1313.5,1522.5,1,1,3,64.89,0.03,2494993.45
Cetacea,Phocoenidae,Phocoena,dioptrica,Phocoena dioptrica,65000.0,,,0.97,,,,,,,,,,,
Cetacea,Phocoenidae,Phocoena,phocoena,Phocoena phocoena,52730.93,1530.07,333.28,0.98,0.87,180.0,258.09,8892.16,1353.82,2,1,3,,0.03,
Cetacea,Phocoenidae,Phocoena,sinus,Phocoena sinus,43121.43,1520.0,,0.97,,,,,,2,1,3,,,
Cetacea,Phocoenidae,Phocoena,spinipinnis,Phocoena spinipinnis,59999.99,,,0.97,,,,,,2,1,3,,,
Cetacea,Phocoenidae,Phocoenoides,dalli,Phocoenoides dalli,106042.53,1966.64,346.74,0.98,0.33,264.0,91.24,,2672.83,2,1,3,,,
Rodentia,Cricetidae,Phodopus,campbelli,Phodopus campbelli,27.06,91.22,20.59,8.47,3.5,21.5,,1.49,46.47,,2,,,20.0,2048011.87
Rodentia,Cricetidae,Phodopus,sungorus,Phodopus sungorus,30.43,79.76,21.0,5.48,3.0,38.4,20.0,2.04,,3,2,2,,59.99,647778.72
Chiroptera,Vespertilionidae,Phoniscus,atrox,Phoniscus atrox,4.81,,,,,,,,,,1,,,,118977.9
Chiroptera,Vespertilionidae,Phoniscus,jagorii,Phoniscus jagorii,4.7,,125.14,1.0,,,83.7,,,,1,,,,134207.3
Chiroptera,Vespertilionidae,Phoniscus,papuensis,Phoniscus papuensis,6.32,,,,,,,,,,1,,,,379532.97
Chiroptera,Phyllostomidae,Phylloderma,stenops,Phylloderma stenops,55.82,,,0.98,,,,,,2,1,2,,,10120814.01
Rodentia,Echimyidae,Phyllomys,blainvillii,Phyllomys blainvillii,243.3,,,,,,,,,,1,,,,167672.41
Rodentia,Echimyidae,Phyllomys,brasiliensis,Phyllomys brasiliensis,312.49,,,,,,,,,,1,,,,148527.87
Rodentia,Echimyidae,Phyllomys,dasythrix,Phyllomys dasythrix,260.0,,,,,,,,,,1,,,,276503.46
Artiodactyla,Bovidae,Pantholops,hodgsonii,Pantholops hodgsonii,32733.12,,212.91,1.0,,,,,,,,,,,1113531.45
Primates,Cercopithecidae,Papio,anubis,Papio anubis,17728.56,,178.96,1.01,,302.4,596.6,947.31,,,,,4.83,10.8,5597000.95
Primates,Cercopithecidae,Papio,cynocephalus,Papio cynocephalus,15822.15,,172.99,1.01,,540.0,450.42,709.88,2560.56,2,,1,14.95,5.86,3953480.36
Primates,Cercopithecidae,Papio,hamadryas,Papio hamadryas,14007.08,675.0,180.0,1.01,,450.0,363.96,890.0,1652.37,2,,1,17.37,2.1,639689.34
Primates,Cercopithecidae,Papio,papio,Papio papio,18026.05,,184.42,1.01,,480.0,,600.38,,,,,,11.07,205349.12
Primates,Cercopithecidae,Papio,ursinus,Papio ursinus,17729.44,,185.92,1.01,,540.0,877.09,599.99,1543.35,2,,1,9.12,2.77,2566298.35
Rodentia,Geomyidae,Pappogeomys,alcorni,Pappogeomys alcorni,150.0,,,,,,,,,3,2,1,,,1519.92
Rodentia,Geomyidae,Pappogeomys,bulleri,Pappogeomys bulleri,150.0,,,0.97,,,,,,3,2,1,,,35746.47
Soricomorpha,Soricidae,Paracrocidura,schoutedeni,Paracrocidura schoutedeni,12.18,75.03,,,,,,,,,,,,,458097.1
Carnivora,Herpestidae,Paracynictis,selousi,Paracynictis selousi,1669.72,427.91,,2.0,,,,,,1,1,3,,,2095494.67
Carnivora,Viverridae,Paradoxurus,hermaphroditus,Paradoxurus hermaphroditus,3200.0,532.26,61.27,3.29,,269.0,,92.07,397.85,6,1,2,4.15,,7074837.93
Carnivora,Viverridae,Paradoxurus,jerdoni,Paradoxurus jerdoni,3530.33,589.08,,3.0,,144.0,,,,6,1,2,,,14283.81
Carnivora,Viverridae,Paradoxurus,zeylonensis,Paradoxurus zeylonensis,2821.3,487.39,,2.5,,,,,,6,1,2,,,5405.27
Erinaceomorpha,Erinaceidae,Paraechinus,aethiopicus,Paraechinus aethiopicus,352.4,181.87,36.7,3.49,1.0,54.0,67.27,8.49,,2,2,3,,,13229917.82
Erinaceomorpha,Erinaceidae,Paraechinus,hypomelas,Paraechinus hypomelas,213.0,207.62,,3.74,1.0,,,,,3,,2,,,2411438.0
Erinaceomorpha,Erinaceidae,Paraechinus,micropus,Paraechinus micropus,171.0,180.0,37.0,4.0,1.0,,45.05,8.49,,2,,3,,,344515.33
Rodentia,Muridae,Parahydromys,asper,Parahydromys asper,526.66,213.59,,,,,,,,2,2,2,,,153393.15
Rodentia,Muridae,Paraleptomys,rufilatus,Paraleptomys rufilatus,54.99,126.78,,,,,,,,,1,,,,700.58
Rodentia,Muridae,Paraleptomys,wilhelmina,Paraleptomys wilhelmina,33.68,118.87,,,,,,,,,1,,,,4717.36
Rodentia,Cricetidae,Paralomys,gerbillus,Paralomys gerbillus,17.4,,,,,,,,,,,,,,13008.5
Rodentia,Muridae,Paramelomys,levipes,Paramelomys levipes,82.81,151.0,,1.52,,,20.0,,,3,,1,,,817.79
Rodentia,Muridae,Paramelomys,lorentzii,Paramelomys lorentzii,150.0,175.0,,1.07,,,20.0,,,3,3,1,,,
Rodentia,Muridae,Paramelomys,mollis,Paramelomys mollis,90.05,145.69,,1.69,,,20.0,,,3,2,1,,,231082.75
Rodentia,Muridae,Paramelomys,moncktoni,Paramelomys moncktoni,80.56,147.48,,2.15,,,20.0,,166.32,3,,1,,,160894.52
Rodentia,Muridae,Paramelomys,platyops,Paramelomys platyops,85.6,128.75,,1.94,,,20.0,,,3,1,1,,,305085.05
Rodentia,Muridae,Paramelomys,rubex,Paramelomys rubex,47.16,115.97,,2.0,,,20.0,,,3,3,1,0.007363214,,182359.8
Dasyuromorphia,Dasyuridae,Paramurexia,rothschildi,Paramurexia rothschildi,53.77,129.55,,3.39,,,,,,1,3,3,,,32993.43
Dasyuromorphia,Dasyuridae,Parantechinus,apicalis,Parantechinus apicalis,71.31,142.5,48.5,7.5,1.0,36.0,112.7,,340.6,2,1,2,,599.99,31495.39
Chiroptera,Pteropodidae,Paranyctimene,raptor,Paranyctimene raptor,24.94,77.67,,0.98,2.0,,,,,1,1,1,,,361367.13
Soricomorpha,Talpidae,Parascalops,breweri,Parascalops breweri,51.11,127.05,35.46,4.49,1.0,60.0,30.24,6.69,314.64,3,2,2,4.15528e-05,900.0,832754.59
Rodentia,Sciuridae,Paraxerus,alexandri,Paraxerus alexandri,50.73,115.65,,0.97,,,,,,,,,,,290513.82
Rodentia,Sciuridae,Paraxerus,boehmi,Paraxerus boehmi,70.24,125.62,,1.06,,,,,,,,,,,1218355.82
Rodentia,Sciuridae,Paraxerus,cepapi,Paraxerus cepapi,222.85,172.74,56.87,2.02,3.0,,38.39,12.75,239.99,5,2,2,0.004512132,353.0,3172101.99
Rodentia,Sciuridae,Paraxerus,cooperi,Paraxerus cooperi,250.0,,,,,,,,,,,,,,101663.98
Rodentia,Sciuridae,Paraxerus,flavovittis,Paraxerus flavovittis,160.0,178.46,,1.22,,,,,,,,,,,780136.46
Rodentia,Sciuridae,Paraxerus,lucifer,Paraxerus lucifer,692.45,243.07,,,,,,,,,,,,,76574.94
Rodentia,Sciuridae,Paraxerus,ochraceus,Paraxerus ochraceus,104.3,160.02,,2.2,,,24.36,,,,1,,,,941616.18
Rodentia,Sciuridae,Paraxerus,palliatus,Paraxerus palliatus,365.37,209.57,62.01,1.6,1.0,,52.5,15.0,,5,2,2,0.02,389.55,1286891.41
Rodentia,Sciuridae,Paraxerus,poensis,Paraxerus poensis,100.0,191.78,55.13,1.5,,,,9.9,105.22,1,1,1,,,1525723.44
Rodentia,Sciuridae,Paraxerus,vexillarius,Paraxerus vexillarius,675.0,,,,,,,,,,,,,,8466.8
Carnivora,Felidae,Pardofelis,marmorata,Pardofelis marmorata,2826.68,516.47,,2.0,,,,84.99,,1,1,3,,,2298300.89
Rodentia,Muridae,Parotomys,brantsii,Parotomys brantsii,129.5,,37.56,2.04,3.0,,,,39.68,,,,,,599972.96
Rodentia,Muridae,Parotomys,littledalei,Parotomys littledalei,126.99,,,2.91,,,,,,,,,,,645782.25
Rodentia,Muridae,Paruromys,dominator,Paruromys dominator,325.31,,,,,,,,,,,,,,170486.35
Artiodactyla,Tayassuidae,Pecari,tajacu,Pecari tajacu,21133.69,889.34,144.88,1.56,2.0,296.4,47.25,618.53,315.68,5,1,1,1.37,7.92,15771441.38
Rodentia,Ctenodactylidae,Pectinator,spekei,Pectinator spekei,169.7,,,1.17,,120.0,,,374.16,3,,1,,,630728.82
Rodentia,Pedetidae,Pedetes,capensis,Pedetes capensis,2549.25,,78.02,0.98,,174.0,45.61,253.49,338.33,3,2,1,,,3979810.48
Chiroptera,Pteropodidae,Penthetor,lucasi,Penthetor lucasi,35.39,,,1.0,,,,,,1,1,1,,,647764.08
Cetacea,Delphinidae,Peponocephala,electra,Peponocephala electra,206000.0,,365.0,,,564.0,,,3458.66,,1,,,,
Peramelemorphia,Peramelidae,Perameles,bougainville,Perameles bougainville,230.8,300.0,12.0,2.0,,,,,136.05,3,2,2,0.07,34.0,89.5
Peramelemorphia,Peramelidae,Perameles,eremiana,Perameles eremiana,499.99,,,2.0,,,,,,2,2,2,,,
Peramelemorphia,Peramelidae,Perameles,gunnii,Perameles gunnii,903.46,323.35,12.5,2.31,3.8,66.0,59.99,0.22,107.64,7,2,2,0.02,351.56,49082.44
Peramelemorphia,Peramelidae,Perameles,nasuta,Perameles nasuta,720.26,,12.24,2.43,,,66.99,0.23,139.04,2,2,2,,89.99,383336.86
Primates,Lorisidae,Perodicticus,potto,Perodicticus potto,1081.81,320.0,193.0,1.09,,312.0,149.15,37.16,561.58,4,1,2,0.11,8.47,4965957.99
Rodentia,Heteromyidae,Perognathus,alticolus,Perognathus alticolus,23.99,75.51,,,,,,,,,,,,,8126.88
Rodentia,Heteromyidae,Perognathus,amplus,Perognathus amplus,11.97,,,,,,,,,,,,,,129256.13
Rodentia,Heteromyidae,Perognathus,fasciatus,Perognathus fasciatus,11.29,69.34,29.8,5.48,1.0,,,,,3,2,1,,225.41,1039601.42
Rodentia,Heteromyidae,Perognathus,flavescens,Perognathus flavescens,9.21,69.29,,4.37,2.0,,,,,2,2,1,0.000329061,,1544925.8
Rodentia,Heteromyidae,Perognathus,flavus,Perognathus flavus,7.97,59.6,26.0,3.94,2.0,60.0,29.83,,,3,2,2,0.001896819,150.0,1564512.87
Rodentia,Heteromyidae,Perognathus,inornatus,Perognathus inornatus,10.16,72.23,,4.0,2.0,,,,,2,2,2,0.000176546,499.99,73899.38
Rodentia,Heteromyidae,Perognathus,longimembris,Perognathus longimembris,8.07,,22.74,4.45,1.0,99.6,18.67,1.25,125.41,1,,1,0.002322898,174.0,518799.79
