population,generation,mean_fitness,sd_fitness,se_fitness,n
Ara + 5,15000,1.5945175455,0.08759778176085513,0.06194098549999993,2
Ara + 5,16000,1.5378965205,0.05472294924829967,0.03869496849999998,2
Ara + 5,17000,1.649926929,0.2238977071247072,0.158319587,2
Ara + 5,18000,1.5277284815,0.019873079814649253,0.014052389499999983,2
Ara + 5,19000,1.5702063155000001,0.02934158609706001,0.020747634500000056,2
Ara + 5,20000,1.4780435655,0.07779036202664898,0.05500609249999999,2
Ara + 5,22000,1.7052371545,0.08121532423099412,0.05742790650000006,2
Ara + 5,24000,1.682523067,0.1997444979427204,0.14124068899999997,2
Ara + 5,26000,1.8320011809999999,0.19908064346912555,0.14077127300000003,2
Ara + 5,28000,1.593343119,0.01645679310340261,0.011636709999999993,2
Ara + 5,30000,1.653175304,0.008623343973265238,0.006097624999999995,2
Ara + 5,32000,1.600757926,0.0,0.0,1
Ara + 5,34000,1.7978333924999998,0.054040941929418176,0.038212716500000014,2
Ara + 5,36000,1.5886667650000001,0.22048472472344893,0.15590624399999997,2
Ara + 5,38000,1.6910349875000001,0.0790980513666499,0.0559307685,2
Ara + 5,40000,1.59848944,0.13526273760167362,0.09564519900000001,2
Ara + 5,42000,1.6396072469999998,0.311325707597652,0.22014051899999998,2
Ara + 5,44000,1.5376621945,0.20961926889072788,0.14822320649999998,2
Ara + 5,46000,1.475444561,0.03346719849057238,0.023664882999999914,2
Ara + 5,48000,1.763375699,0.28759325806316954,0.2033591429999999,2
Ara + 5,50000,1.65764556,0.0408579450355717,0.02889092999999998,2
Ara + 6,0,0.9611972547500001,0.057896939018672815,0.028948469509336407,4
Ara + 6,500,1.16372998,0.0344622698254927,0.01723113491274635,4
Ara + 6,1000,1.16989389375,0.031441888003008116,0.015720944001504058,4
Ara + 6,1500,1.1946637095000001,0.05892579863220359,0.029462899316101795,4
Ara + 6,2000,1.2194467582500002,0.0767298938258544,0.0383649469129272,4
Ara + 6,2500,1.325770423,0.08840384111553884,0.04420192055776942,4
Ara + 6,3000,1.257205219,0.1321798280433549,0.06608991402167745,4
Ara + 6,3500,1.28960703575,0.06717821203019227,0.03358910601509613,4
Ara + 6,4000,1.35805879725,0.09311660299667454,0.04655830149833727,4
Ara - 1,0,0.9991128035,0.0739717979809745,0.03698589899048725,4
Ara - 1,500,1.061012765,0.07286181715517698,0.05152108499999996,2
Ara - 1,1000,1.087963504,0.1269167209079896,0.08974367399999993,2
Ara - 1,1500,1.130966925,0.10240922011593016,0.07241425400000001,2
Ara - 1,2000,1.262659378,0.0,0.0,1
Ara - 1,2500,1.359457018,0.0,0.0,1
Ara - 1,3000,1.211697985,0.0,0.0,1
Ara - 1,3500,1.261849015,0.0,0.0,1
Ara - 1,4000,1.3440792575,0.18735888415281454,0.13248273749999992,2
Ara - 1,4500,1.3149513165,0.1065505543216156,0.07534261949999999,2
Ara - 1,5000,1.32286542,0.04598725095725133,0.03251789699999996,2
Ara - 1,6000,1.3607897355,0.11934715200777579,0.08439118049999994,2
Ara - 1,7000,1.295004617,0.0333496349171324,0.023581752999999983,2
Ara - 1,8000,1.4828498935,0.017431973257725164,0.012326266500000014,2
Ara - 1,9000,1.4937763595,0.15789210267882542,0.1116465765000001,2
Ara - 1,10000,1.3351990155000002,0.019926347582689588,0.014090055499999976,2
Ara - 1,11000,1.371255915,0.08017538158079619,0.056692556000000005,2
Ara - 1,12000,1.4189090405,0.08269708487574666,0.05847566949999994,2
Ara - 1,13000,1.4176209755,0.032777412289991,0.02317713049999992,2
Ara - 1,14000,1.323736333,0.01826437723921752,0.01291486499999994,2
Ara - 1,15000,1.447585308,0.03138797787055119,0.022194652000000037,2
Ara - 1,16000,1.3708110585,0.15638048939998447,0.11057770450000003,2
Ara - 1,17000,1.4318599695,0.14182477409100527,0.10028525949999999,2
Ara - 1,18000,1.558885599,0.007545489792994066,0.005335466999999983,2
Ara - 1,19000,1.447749735,0.06942740941844881,0.04909259199999993,2
Ara - 1,20000,1.4327449455,0.004060207844679935,0.0028710004999999983,2
Ara - 1,22000,1.5220799999999999,0.07955242333499796,0.056252057999999994,2
Ara - 1,24000,1.5837119375,0.2550692261745082,0.18036117949999997,2
Ara - 1,26000,1.492857939,0.12577251748422622,0.08893459999999996,2
Ara - 1,28000,1.6435360895,0.23844207690538213,0.16860400949999996,2
Ara - 1,30000,1.432113145,0.039837346705586696,0.02816925799999992,2
Ara - 1,32000,1.7779402414999999,0.34488945939787513,0.24387367549999994,2
Ara - 1,34000,1.7004738709999998,0.20426058106476522,0.14443404199999998,2
Ara - 1,36000,1.8428594815,0.3415403683369378,0.2415055104999999,2
Ara - 1,38000,1.781105355,0.13631802800455717,0.09639140200000006,2
Ara - 1,40000,1.72356208,0.1923790417788572,0.13603252500000004,2
Ara - 1,42000,1.661639201,0.017679328402172317,0.012501172999999975,2
Ara - 1,44000,1.553521172,0.07542898953747827,0.053336350000000025,2
Ara - 1,46000,1.6811035065,0.14932633275389784,0.10558966250000001,2
Ara - 1,48000,1.765015466,0.1700992455455867,0.12027832999999999,2
Ara - 1,50000,1.594220371,0.25123729078357165,0.177651592,2
Ara - 2,0,0.9790592284999999,0.051373370166676056,0.025686685083338028,4
Ara - 2,500,1.1142700785000001,0.11626757893912855,0.0822135935,2
Ara - 2,1000,1.194667893,0.05517134616434675,0.039012033,2
Ara - 2,1500,1.2623351425,0.01647185942758945,0.011647363500000061,2
Ara - 2,2000,1.2280104084999999,0.01651756115307091,0.011679679499999929,2
Ara - 2,2500,1.2518830875,0.16051825766617236,0.1135035485,2
Ara - 2,3000,1.3064904635,0.023092503048266145,0.016328865500000008,2
Ara - 2,3500,1.4233955539999998,0.01689343436921246,0.011945462000000016,2
Ara - 2,4000,1.3798112325,0.03619740636209151,0.025595431499999984,2
Ara - 2,4500,1.329956298,0.05172931440230387,0.036578149000000004,2
Ara - 2,5000,1.37191535,0.008074477790213423,0.00570951800000008,2
Ara - 2,6000,1.3204131595,0.06397379674975266,0.04523630550000002,2
Ara - 2,7000,1.3860129015,0.0767403706819837,0.05426363649999999,2
Ara - 2,8000,1.3555465925,0.17535443415198712,0.12399430950000001,2
Ara - 2,9000,1.520489377,0.14606496748155476,0.10328352899999992,2
Ara - 2,10000,1.496917997,0.09940313241241082,0.07028862899999998,2
Ara - 2,11000,1.4711019435,0.0377822476191922,0.026716083500000095,2
Ara - 2,12000,1.4911610525,0.12231210165297927,0.08648771649999996,2
Ara - 2,13000,1.489068292,0.07722417526299191,0.054605738000000015,2
Ara - 2,14000,1.5239690495,0.30641984812593415,0.21667155250000003,2
Ara - 2,15000,1.5512384305,0.04659661648939481,0.03294878349999997,2
Ara - 2,16000,1.526507889,0.08112523104889635,0.05736420100000006,2
Ara - 2,17000,1.540223513,0.09820856884369138,0.06944394500000006,2
