species,family,order,mass_g,wing_length_mm,beak_length_culmen_mm,beak_length_nares_mm,beak_width_mm,beak_depth_mm,tarsus_length_mm,tail_length_mm,kipps_distance_mm,hand_wing_index,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size_km2,centroid_latitude,centroid_longitude
Nyctibius aethereus,Nyctibiidae,Caprimulgiformes,440.5,331.8,32.5,11.8,7.4,5.6,10.6,301.2,129.7,38.0,Forest,1,1,Carnivore,Invertivore,Insessorial,4975131.52,-6.53,-61.87
Nyctibius grandis,Nyctibiidae,Caprimulgiformes,547.0,374.1,45.3,16.4,6.7,7.6,16.8,250.9,164.0,44.0,Forest,1,1,Carnivore,Invertivore,Insessorial,8477906.13,-3.9,-62.23
Nyctibius griseus,Nyctibiidae,Caprimulgiformes,172.0,256.4,28.6,11.9,5.1,6.3,10.4,181.8,111.0,43.8,Forest,1,1,Carnivore,Invertivore,Insessorial,13806169.86,-9.17,-58.43
Nyctibius jamaicensis,Nyctibiidae,Caprimulgiformes,266.0,290.0,26.4,10.9,6.1,6.8,16.2,208.2,147.0,50.7,Forest,1,1,Carnivore,Invertivore,Insessorial,782201.43,18.02,-90.86
Nyctibius leucopterus,Nyctibiidae,Caprimulgiformes,86.4,184.2,19.8,8.3,7.2,3.5,10.4,123.0,81.2,44.1,Forest,1,1,Carnivore,Invertivore,Insessorial,2909112.33,-3.47,-60.96
Nyctibius maculosus,Nyctibiidae,Caprimulgiformes,170.3,271.0,24.9,11.1,6.6,5.0,13.3,195.5,128.1,47.3,Forest,1,1,Carnivore,Invertivore,Insessorial,117205.57,-4.51,-72.41
Phyllaemulor bracteatus,Nyctibiidae,Caprimulgiformes,51.7,162.6,19.3,5.9,3.6,3.3,7.5,129.6,68.9,42.3,Forest,1,1,Carnivore,Invertivore,Insessorial,4459531.71,-2.3,-66.6
Batrachostomus auritus,Podargidae,Caprimulgiformes,206.0,260.5,35.5,27.4,42.8,20.0,21.9,194.8,58.7,22.5,Forest,1,1,Carnivore,Invertivore,Insessorial,565685.32,1.0,113.66
Batrachostomus cornutus,Podargidae,Caprimulgiformes,46.3,133.4,23.9,16.3,21.9,11.3,14.5,117.6,26.8,20.0,Forest,1,1,Carnivore,Invertivore,Insessorial,860066.39,0.61,111.46
Batrachostomus harterti,Podargidae,Caprimulgiformes,206.0,242.0,27.5,25.2,37.9,15.0,13.3,158.0,66.3,27.4,Forest,1,1,Carnivore,Invertivore,Insessorial,27500.68,1.74,113.94
Batrachostomus hodgsoni,Podargidae,Caprimulgiformes,51.0,132.8,16.1,10.2,16.0,7.2,16.6,129.2,33.2,25.0,Forest,1,1,Carnivore,Invertivore,Insessorial,119417.56,22.21,97.88
Batrachostomus javensis,Podargidae,Caprimulgiformes,46.3,111.0,20.5,13.3,17.8,9.4,12.9,104.0,27.1,24.5,Forest,1,1,Carnivore,Invertivore,Insessorial,1413593.97,4.74,108.55
Batrachostomus mixtus,Podargidae,Caprimulgiformes,46.3,118.2,17.6,12.4,17.2,8.4,14.5,88.5,32.6,27.6,Forest,1,1,Carnivore,Invertivore,Insessorial,86540.35,2.79,115.31
Batrachostomus moniliger,Podargidae,Caprimulgiformes,52.4,116.0,20.5,13.7,23.1,9.7,15.7,100.6,25.6,22.4,Woodland,1,1,Carnivore,Invertivore,Insessorial,109433.83,10.17,77.55
Batrachostomus poliolophus,Podargidae,Caprimulgiformes,46.3,120.3,19.5,13.9,19.9,8.7,14.2,92.5,25.0,20.7,Forest,1,1,Carnivore,Invertivore,Insessorial,93412.75,1.28,99.32
Batrachostomus septimus,Podargidae,Caprimulgiformes,86.8,156.4,25.5,17.8,27.1,13.4,18.6,107.8,37.0,23.6,Forest,1,1,Carnivore,Invertivore,Insessorial,251854.35,11.84,123.16
Batrachostomus stellatus,Podargidae,Caprimulgiformes,51.3,118.4,23.3,17.7,27.1,11.6,14.2,118.8,30.1,26.1,Forest,1,1,Carnivore,Invertivore,Insessorial,738170.25,0.7,110.93
Podargus ocellatus,Podargidae,Caprimulgiformes,175.4,176.2,33.0,21.7,30.6,18.5,21.1,156.2,37.8,21.4,Forest,2,1,Carnivore,Invertivore,Insessorial,761242.93,-6.71,141.6
Podargus papuensis,Podargidae,Caprimulgiformes,375.7,289.6,51.2,32.5,41.4,27.6,31.8,267.4,78.1,26.6,Woodland,3,1,Carnivore,Invertivore,Insessorial,958302.87,-7.05,141.26
Podargus strigoides,Podargidae,Caprimulgiformes,308.0,228.8,42.6,22.1,29.3,20.6,28.4,172.0,63.0,27.5,Forest,1,1,Carnivore,Invertivore,Insessorial,7674636.86,-25.73,134.48
Rigidipenna inexpectata,Podargidae,Caprimulgiformes,175.4,192.0,33.9,24.1,35.5,19.2,24.0,166.0,52.4,27.3,Forest,2,1,Carnivore,Invertivore,Insessorial,16697.99,-6.8,156.58
Steatornis caripensis,Steatornithidae,Caprimulgiformes,408.0,308.3,36.3,18.2,9.9,14.3,19.1,200.2,120.8,38.6,Forest,1,1,Herbivore,Frugivore,Insessorial,1057217.82,0.87,-70.07
Abeillia abeillei,Trochilidae,Caprimulgiformes,2.7,47.0,13.0,9.5,1.2,1.7,6.3,29.4,30.5,66.3,Forest,2,1,Herbivore,Nectarivore,Aerial,144610.4,15.29,-89.79
Adelomyia melanogenys,Trochilidae,Caprimulgiformes,4.9,53.1,17.9,13.8,2.6,2.1,6.0,35.4,30.9,60.2,Forest,1,1,Herbivore,Nectarivore,Aerial,620219.31,-4.42,-73.58
Aglaeactis aliciae,Trochilidae,Caprimulgiformes,7.0,81.0,20.3,15.5,2.5,2.1,8.1,47.4,49.6,62.0,Shrubland,2,1,Herbivore,Nectarivore,Aerial,182.72,-7.74,-77.74
Aglaeactis castelnaudii,Trochilidae,Caprimulgiformes,6.7,74.2,22.9,18.2,2.7,2.2,8.2,46.4,44.0,59.4,Shrubland,2,1,Herbivore,Nectarivore,Aerial,23294.94,-12.27,-73.65
Aglaeactis cupripennis,Trochilidae,Caprimulgiformes,7.6,81.5,22.5,16.4,2.5,1.8,7.3,49.9,50.8,62.5,Shrubland,2,1,Herbivore,Nectarivore,Aerial,224852.99,-4.08,-76.67
Aglaeactis pamela,Trochilidae,Caprimulgiformes,5.5,67.8,22.0,17.8,2.6,2.4,7.7,41.4,38.8,57.4,Shrubland,2,1,Herbivore,Nectarivore,Aerial,16558.41,-16.88,-66.89
Aglaiocercus berlepschi,Trochilidae,Caprimulgiformes,5.0,59.4,18.4,14.4,2.1,2.1,5.3,55.4,38.7,65.3,Forest,2,1,Herbivore,Nectarivore,Aerial,4153.76,10.22,-63.74
Aglaiocercus coelestis,Trochilidae,Caprimulgiformes,5.6,62.0,18.5,13.9,2.0,1.7,5.8,92.2,37.4,61.1,Forest,2,1,Herbivore,Nectarivore,Aerial,28060.09,1.6,-77.82
Aglaiocercus kingii,Trochilidae,Caprimulgiformes,4.8,58.7,20.6,14.3,2.5,2.2,6.3,45.8,36.7,62.9,Forest,2,1,Herbivore,Nectarivore,Aerial,267748.93,-2.03,-73.68
Amazilia alfaroana,Trochilidae,Caprimulgiformes,5.0,56.0,20.3,15.2,2.3,1.7,5.6,35.2,35.6,63.5,,2,1,Herbivore,Nectarivore,Aerial,80.92,10.73,-85.13
Amazilia amabilis,Trochilidae,Caprimulgiformes,4.3,52.3,21.3,16.4,2.0,1.9,4.3,29.2,32.8,64.2,Forest,2,1,Herbivore,Nectarivore,Aerial,298612.12,6.51,-78.67
Amazilia amazilia,Trochilidae,Caprimulgiformes,4.3,61.8,20.7,15.9,2.9,2.0,6.5,37.6,35.2,58.1,Shrubland,2,1,Herbivore,Nectarivore,Aerial,169380.82,-6.41,-79.11
Amazilia bartletti,Trochilidae,Caprimulgiformes,4.6,55.3,24.7,19.2,2.9,2.5,4.3,31.0,33.9,61.2,Forest,2,1,Herbivore,Nectarivore,Aerial,1032986.12,-11.0,-69.0
Amazilia beryllina,Trochilidae,Caprimulgiformes,4.5,53.4,21.3,17.4,2.3,2.1,5.7,31.8,32.7,60.8,Forest,2,1,Herbivore,Nectarivore,Aerial,607143.11,19.81,-99.94
Amazilia boucardi,Trochilidae,Caprimulgiformes,4.5,54.4,22.1,17.0,2.2,2.2,5.3,33.6,33.4,61.6,Shrubland,1,1,Herbivore,Nectarivore,Aerial,1301.76,9.5,-84.4
Amazilia brevirostris,Trochilidae,Caprimulgiformes,4.3,48.8,19.6,15.2,2.1,1.8,5.1,28.5,30.3,62.2,Forest,1,1,Herbivore,Nectarivore,Aerial,584285.4,6.43,-61.1
Amazilia candida,Trochilidae,Caprimulgiformes,3.8,51.8,18.7,13.4,2.3,2.0,5.8,28.6,32.5,62.1,Forest,1,1,Herbivore,Nectarivore,Aerial,429525.06,17.27,-90.34
Amazilia castaneiventris,Trochilidae,Caprimulgiformes,5.0,52.0,21.9,18.4,1.9,1.6,5.2,30.2,31.4,60.3,Forest,1,1,Herbivore,Nectarivore,Aerial,4916.59,6.79,-73.09
Amazilia chionogaster,Trochilidae,Caprimulgiformes,5.0,57.7,25.6,19.9,2.5,2.2,6.2,32.1,35.9,62.8,Shrubland,2,1,Herbivore,Nectarivore,Aerial,488801.52,-16.28,-69.48
Amazilia chrysura,Trochilidae,Caprimulgiformes,4.5,51.8,22.8,19.1,2.7,2.0,4.4,30.8,31.8,61.5,Forest,2,1,Herbivore,Nectarivore,Aerial,3128401.38,-23.13,-57.87
Amazilia coeruleogularis,Trochilidae,Caprimulgiformes,4.2,47.2,21.5,16.8,2.0,2.0,5.3,33.6,30.0,64.3,Shrubland,2,1,Herbivore,Nectarivore,Aerial,88891.44,8.78,-77.93
Amazilia cupreicauda,Trochilidae,Caprimulgiformes,3.7,49.2,19.0,15.4,2.3,2.2,3.5,27.6,31.9,64.7,Forest,2,1,Herbivore,Nectarivore,Aerial,235892.11,4.73,-63.45
Amazilia cyanifrons,Trochilidae,Caprimulgiformes,5.0,56.0,20.3,15.2,2.3,1.7,5.6,35.2,35.6,63.5,Woodland,2,1,Herbivore,Nectarivore,Aerial,54825.57,3.96,-74.99
Amazilia cyanocephala,Trochilidae,Caprimulgiformes,5.1,60.8,22.8,16.8,2.4,2.2,5.9,36.6,38.3,63.9,Forest,1,1,Herbivore,Nectarivore,Aerial,304040.65,16.4,-91.3
Amazilia cyanura,Trochilidae,Caprimulgiformes,3.9,53.9,21.9,16.4,2.4,1.9,6.8,30.4,33.8,63.3,Woodland,2,1,Herbivore,Nectarivore,Aerial,75350.44,13.13,-87.74
Amazilia cyanus,Trochilidae,Caprimulgiformes,3.3,47.8,20.1,14.7,2.1,2.1,4.4,25.6,29.5,62.1,Forest,1,1,Herbivore,Nectarivore,Aerial,7031990.78,-5.71,-60.14
Amazilia decora,Trochilidae,Caprimulgiformes,4.7,52.3,24.8,18.9,2.1,2.6,5.1,30.8,32.6,61.6,Forest,2,1,Herbivore,Nectarivore,Aerial,13144.24,8.9,-83.32
Amazilia edward,Trochilidae,Caprimulgiformes,4.7,52.1,20.6,16.5,1.8,1.7,4.4,29.9,33.3,64.2,Forest,2,1,Herbivore,Nectarivore,Aerial,42606.22,8.44,-80.44
Amazilia eliciae,Trochilidae,Caprimulgiformes,3.6,49.5,18.3,15.2,2.4,2.3,3.3,27.8,31.1,64.4,Forest,2,1,Herbivore,Nectarivore,Aerial,306966.67,13.09,-86.2
Amazilia fimbriata,Trochilidae,Caprimulgiformes,4.9,52.3,22.2,17.6,2.3,2.4,4.5,30.2,32.4,63.5,Forest,2,1,Herbivore,Nectarivore,Aerial,10740118.89,-6.78,-57.09
Amazilia franciae,Trochilidae,Caprimulgiformes,5.0,53.4,24.9,20.4,2.6,2.0,5.8,33.9,33.1,60.9,Forest,1,1,Herbivore,Nectarivore,Aerial,247257.85,-0.39,-77.06
Amazilia goudoti,Trochilidae,Caprimulgiformes,4.0,49.4,19.6,15.5,2.2,1.6,4.5,29.8,31.0,63.0,Shrubland,2,1,Herbivore,Nectarivore,Aerial,299961.56,8.43,-73.97
Amazilia grayi,Trochilidae,Caprimulgiformes,5.6,60.5,22.1,18.3,2.6,2.0,5.4,33.4,37.6,62.9,Shrubland,2,1,Herbivore,Nectarivore,Aerial,39557.97,2.51,-76.96
Amazilia humboldtii,Trochilidae,Caprimulgiformes,5.6,61.1,21.0,18.4,1.9,1.6,5.6,34.9,37.7,62.1,Shrubland,2,1,Herbivore,Nectarivore,Aerial,21280.25,3.97,-77.85
Amazilia julie,Trochilidae,Caprimulgiformes,3.3,43.1,16.0,12.1,1.2,1.6,4.1,26.0,13.0,30.4,Forest,1,1,Herbivore,Nectarivore,Aerial,289656.61,6.13,-76.33
Amazilia lactea,Trochilidae,Caprimulgiformes,4.6,52.6,20.9,14.6,2.1,1.9,4.6,29.8,31.2,61.0,Forest,2,1,Herbivore,Nectarivore,Aerial,1652691.14,-16.73,-46.95
Amazilia leucogaster,Trochilidae,Caprimulgiformes,4.7,53.3,24.8,22.0,2.8,2.4,3.8,32.5,33.4,62.6,Woodland,2,1,Herbivore,Nectarivore,Aerial,322459.95,-0.39,-49.16
Amazilia lilliae,Trochilidae,Caprimulgiformes,4.3,47.1,21.2,18.3,1.4,1.5,4.7,28.8,30.2,64.1,Forest,1,1,Herbivore,Nectarivore,Aerial,2413.9,10.23,-75.02
Amazilia luciae,Trochilidae,Caprimulgiformes,4.5,54.4,23.0,17.1,2.1,2.5,3.5,34.0,35.3,64.9,Shrubland,2,1,Herbivore,Nectarivore,Aerial,399.27,15.19,-87.19
Amazilia oenone,Trochilidae,Caprimulgiformes,5.0,51.2,24.7,19.8,2.6,2.2,5.2,30.6,32.3,63.4,Forest,1,1,Herbivore,Nectarivore,Aerial,1336265.93,-4.42,-73.08
Amazilia rosenbergi,Trochilidae,Caprimulgiformes,3.7,52.8,23.9,19.2,2.2,2.0,6.2,30.0,33.6,64.5,Forest,1,1,Herbivore,Nectarivore,Aerial,67269.18,3.74,-77.49
Amazilia rutila,Trochilidae,Caprimulgiformes,5.2,57.0,24.5,18.8,2.7,2.1,5.1,38.6,35.2,62.8,Woodland,2,1,Herbivore,Nectarivore,Aerial,397592.64,17.18,-94.11
Amazilia sapphirina,Trochilidae,Caprimulgiformes,4.4,49.5,20.5,16.1,2.1,2.1,4.7,29.5,31.8,64.2,Forest,2,1,Herbivore,Nectarivore,Aerial,3920507.06,-4.83,-59.16
Amazilia saucerottei,Trochilidae,Caprimulgiformes,4.5,51.7,20.8,16.4,2.7,2.2,4.9,30.6,34.2,65.1,Shrubland,2,1,Herbivore,Nectarivore,Aerial,245059.3,8.68,-77.04
Amazilia tobaci,Trochilidae,Caprimulgiformes,4.7,52.0,21.9,16.2,2.3,2.0,6.3,29.6,33.4,64.6,Forest,1,1,Herbivore,Nectarivore,Aerial,434771.48,8.15,-65.63
Amazilia tzacatl,Trochilidae,Caprimulgiformes,4.8,56.4,21.9,18.9,3.1,2.4,5.7,34.2,34.4,61.7,Forest,1,1,Herbivore,Nectarivore,Aerial,1019992.01,10.7,-81.8
Amazilia versicolor,Trochilidae,Caprimulgiformes,4.1,48.2,19.1,13.5,1.8,2.0,4.3,29.0,30.5,63.4,Forest,1,1,Herbivore,Nectarivore,Aerial,5113618.06,-10.93,-54.81
Amazilia violiceps,Trochilidae,Caprimulgiformes,5.1,60.4,25.9,19.4,2.7,2.2,6.3,33.2,37.2,61.5,Shrubland,2,1,Herbivore,Nectarivore,Aerial,555825.08,23.83,-105.19
Amazilia viridicauda,Trochilidae,Caprimulgiformes,6.1,56.4,25.3,19.7,2.4,2.0,5.0,34.8,36.0,64.5,Forest,2,1,Herbivore,Nectarivore,Aerial,28878.13,-11.93,-73.56
Amazilia viridifrons,Trochilidae,Caprimulgiformes,6.3,55.2,25.1,21.9,3.3,2.5,4.5,31.2,36.2,65.6,Woodland,2,1,Herbivore,Nectarivore,Aerial,76070.82,16.65,-95.95
Amazilia viridigaster,Trochilidae,Caprimulgiformes,3.7,52.0,21.8,16.2,2.4,1.8,4.9,31.0,32.4,62.3,Forest,2,1,Herbivore,Nectarivore,Aerial,42935.58,6.24,-72.5
Amazilia wagneri,Trochilidae,Caprimulgiformes,6.3,57.1,22.7,20.3,2.8,2.1,4.6,32.3,36.3,63.5,Woodland,2,1,Herbivore,Nectarivore,Aerial,16762.3,16.29,-96.1
Amazilia yucatanensis,Trochilidae,Caprimulgiformes,3.9,54.8,23.7,18.1,2.7,2.2,5.8,35.2,34.3,62.5,Woodland,2,1,Herbivore,Nectarivore,Aerial,395059.16,20.35,-93.59
Androdon aequatorialis,Trochilidae,Caprimulgiformes,7.3,68.0,39.9,35.5,3.1,3.2,5.7,41.4,40.9,61.1,Forest,1,1,Herbivore,Nectarivore,Aerial,113195.04,4.5,-77.3
Anopetia gounellei,Trochilidae,Caprimulgiformes,3.2,49.3,25.4,23.5,2.5,2.8,3.6,44.0,30.4,62.6,Shrubland,2,1,Herbivore,Nectarivore,Aerial,534925.91,-9.64,-41.43
Anthocephala berlepschi,Trochilidae,Caprimulgiformes,3.9,51.4,19.2,16.9,1.3,1.3,4.4,32.6,33.0,64.5,Forest,1,1,Herbivore,Nectarivore,Aerial,8294.48,3.4,-75.62
Anthocephala floriceps,Trochilidae,Caprimulgiformes,3.9,48.7,17.1,15.2,1.1,1.1,4.3,28.5,32.6,66.9,Forest,1,1,Herbivore,Nectarivore,Aerial,3065.92,10.96,-73.48
Anthracothorax aurulentus,Trochilidae,Caprimulgiformes,5.8,61.1,27.5,23.6,2.7,2.3,4.1,35.7,39.1,64.6,Shrubland,2,1,Herbivore,Nectarivore,Aerial,9556.78,18.22,-66.37
Anthracothorax dominicus,Trochilidae,Caprimulgiformes,5.8,65.3,26.8,21.2,2.0,2.2,5.2,39.8,42.1,64.5,Shrubland,2,1,Herbivore,Nectarivore,Aerial,75252.82,18.91,-71.28
Anthracothorax mango,Trochilidae,Caprimulgiformes,8.3,68.4,28.6,22.5,2.5,2.3,5.9,42.0,44.4,64.9,Forest,2,1,Herbivore,Nectarivore,Aerial,11021.79,18.16,-77.31
Anthracothorax nigricollis,Trochilidae,Caprimulgiformes,7.0,66.3,25.7,20.8,2.4,2.4,4.5,37.2,41.2,64.1,Shrubland,2,1,Herbivore,Nectarivore,Aerial,9808667.81,-9.16,-59.03
Anthracothorax prevostii,Trochilidae,Caprimulgiformes,6.4,65.6,28.9,21.8,2.9,2.7,4.6,34.6,42.6,66.3,Shrubland,2,1,Herbivore,Nectarivore,Aerial,774072.96,15.65,-88.32
Anthracothorax veraguensis,Trochilidae,Caprimulgiformes,7.0,65.7,27.7,21.9,2.2,2.1,5.3,34.8,42.8,64.8,Shrubland,2,1,Herbivore,Nectarivore,Aerial,30443.51,8.26,-81.75
Anthracothorax viridigula,Trochilidae,Caprimulgiformes,7.5,69.1,32.0,25.8,3.0,2.7,5.8,38.6,43.6,63.9,Woodland,2,1,Herbivore,Nectarivore,Aerial,591465.01,1.63,-54.12
Anthracothorax viridis,Trochilidae,Caprimulgiformes,6.6,62.8,26.2,21.3,2.2,2.1,5.2,37.0,41.7,66.4,Forest,1,1,Herbivore,Nectarivore,Aerial,8774.42,18.23,-66.48
Aphantochroa cirrochloris,Trochilidae,Caprimulgiformes,7.7,66.4,24.9,18.1,2.9,2.9,4.5,39.8,42.8,63.9,Forest,1,1,Herbivore,Nectarivore,Aerial,1438300.99,-18.02,-44.18
Archilochus alexandri,Trochilidae,Caprimulgiformes,3.4,42.4,21.6,17.2,1.4,1.6,3.9,24.5,27.4,64.4,Forest,2,3,Herbivore,Nectarivore,Aerial,2369566.67,36.81,-111.12
Archilochus colubris,Trochilidae,Caprimulgiformes,3.1,40.7,20.7,15.1,1.8,1.9,3.4,24.3,27.6,65.0,Woodland,2,3,Omnivore,Nectarivore,Generalist,4936988.47,41.87,-87.72
Atthis ellioti,Trochilidae,Caprimulgiformes,2.9,34.0,14.8,11.0,1.1,1.2,4.1,19.0,22.6,66.4,Forest,2,1,Herbivore,Nectarivore,Aerial,94985.18,15.2,-90.13
Atthis heloisa,Trochilidae,Caprimulgiformes,2.2,34.4,14.7,10.9,1.3,1.3,4.1,21.0,22.9,66.5,Forest,2,2,Herbivore,Nectarivore,Aerial,247558.03,20.61,-101.59
Augastes lumachella,Trochilidae,Caprimulgiformes,4.0,60.1,21.3,15.9,2.0,1.7,4.6,35.5,39.6,65.9,Shrubland,2,1,Herbivore,Nectarivore,Aerial,20933.87,-12.35,-41.78
Augastes scutatus,Trochilidae,Caprimulgiformes,3.0,53.4,18.2,13.7,1.6,1.7,4.5,32.6,34.6,65.3,Shrubland,1,1,Herbivore,Nectarivore,Aerial,28653.28,-17.85,-43.4
Avocettula recurvirostris,Trochilidae,Caprimulgiformes,4.2,55.8,18.6,14.4,2.5,2.4,3.3,28.9,32.3,58.9,Forest,2,1,Herbivore,Nectarivore,Aerial,2531616.04,-2.08,-56.26
Basilinna leucotis,Trochilidae,Caprimulgiformes,3.4,54.3,18.6,14.3,2.4,1.9,3.2,33.4,37.1,68.4,Forest,1,1,Herbivore,Nectarivore,Aerial,556989.38,21.63,-101.11
Basilinna xantusii,Trochilidae,Caprimulgiformes,3.4,50.8,17.8,14.5,2.6,2.0,5.0,29.8,32.6,64.5,Shrubland,2,1,Herbivore,Nectarivore,Aerial,41923.51,25.35,-111.31
Boissonneaua flavescens,Trochilidae,Caprimulgiformes,8.2,75.2,20.9,13.9,2.7,2.4,6.4,48.4,46.3,61.3,Forest,1,1,Herbivore,Nectarivore,Insessorial,128710.18,4.62,-74.88
Boissonneaua jardini,Trochilidae,Caprimulgiformes,9.1,75.0,23.7,18.7,2.8,2.2,7.4,45.4,46.4,62.1,Forest,1,1,Herbivore,Nectarivore,Aerial,30988.1,2.9,-77.09
Boissonneaua matthewsii,Trochilidae,Caprimulgiformes,7.7,72.8,23.3,16.8,2.3,2.4,6.4,46.3,45.0,61.8,Forest,1,1,Herbivore,Nectarivore,Aerial,127445.48,-7.46,-76.59
Calliphlox amethystina,Trochilidae,Caprimulgiformes,2.8,34.8,19.3,13.8,1.5,1.7,3.8,24.6,22.5,65.2,Forest,2,1,Herbivore,Nectarivore,Aerial,7988128.33,-9.78,-53.36
Calliphlox bryantae,Trochilidae,Caprimulgiformes,3.3,41.6,18.8,14.2,1.3,1.5,4.0,30.0,28.2,67.7,Forest,2,1,Herbivore,Nectarivore,Aerial,9185.28,9.46,-83.41
Calliphlox mitchellii,Trochilidae,Caprimulgiformes,3.1,35.7,17.4,13.0,1.5,1.3,3.9,26.8,23.0,65.1,Forest,2,1,Herbivore,Nectarivore,Aerial,59801.22,3.0,-77.01
Calothorax lucifer,Trochilidae,Caprimulgiformes,3.3,39.3,23.5,17.8,1.6,1.6,4.1,27.2,24.8,63.0,Shrubland,2,1,Herbivore,Nectarivore,Aerial,338277.72,25.07,-104.23
Calothorax pulcher,Trochilidae,Caprimulgiformes,2.7,37.1,21.4,16.4,1.3,1.6,3.9,27.4,23.2,62.1,Shrubland,2,1,Herbivore,Nectarivore,Aerial,52857.18,17.53,-98.0
Calypte anna,Trochilidae,Caprimulgiformes,4.2,49.0,20.6,15.7,1.6,1.7,4.6,30.0,32.1,65.6,Woodland,2,2,Herbivore,Nectarivore,Aerial,493015.73,37.61,-118.56
Calypte costae,Trochilidae,Caprimulgiformes,3.1,44.7,19.2,15.8,1.6,1.6,4.4,23.6,29.0,65.7,Shrubland,2,3,Herbivore,Nectarivore,Aerial,563636.0,31.8,-113.63
Campylopterus curvipennis,Trochilidae,Caprimulgiformes,6.0,63.0,29.2,22.1,2.9,2.6,6.3,51.2,39.7,62.9,Forest,1,1,Herbivore,Nectarivore,Aerial,286183.47,18.7,-91.63
Campylopterus cuvierii,Trochilidae,Caprimulgiformes,8.9,67.9,24.2,18.9,2.8,2.3,6.5,42.0,42.5,62.9,Human Modified,2,1,Herbivore,Nectarivore,Aerial,238479.54,12.57,-83.64
Campylopterus duidae,Trochilidae,Caprimulgiformes,6.1,64.4,28.0,21.5,2.4,2.6,6.2,46.4,39.4,61.1,Forest,1,1,Herbivore,Nectarivore,Aerial,102776.86,3.91,-65.31
Campylopterus ensipennis,Trochilidae,Caprimulgiformes,9.6,75.8,29.5,23.4,2.9,2.8,6.3,50.4,46.4,61.7,Forest,1,1,Herbivore,Nectarivore,Aerial,2404.28,10.26,-63.51
Campylopterus falcatus,Trochilidae,Caprimulgiformes,7.2,65.2,27.0,20.8,2.3,2.0,6.0,40.5,39.9,61.2,Forest,1,1,Herbivore,Nectarivore,Aerial,88173.02,7.15,-72.04
Campylopterus hemileucurus,Trochilidae,Caprimulgiformes,9.7,75.3,32.7,27.1,3.3,3.0,6.5,54.4,47.4,62.5,Forest,1,1,Herbivore,Nectarivore,Aerial,314208.02,15.32,-90.52
Campylopterus hyperythrus,Trochilidae,Caprimulgiformes,6.4,63.2,22.9,17.1,2.1,1.9,5.3,43.5,37.5,59.2,Forest,2,1,Herbivore,Nectarivore,Aerial,40875.45,5.28,-61.51
Campylopterus largipennis,Trochilidae,Caprimulgiformes,8.3,72.3,30.2,24.0,2.7,2.9,5.6,47.0,44.0,61.1,Forest,1,1,Herbivore,Nectarivore,Aerial,7144478.94,-5.18,-60.52
Campylopterus phainopeplus,Trochilidae,Caprimulgiformes,7.7,68.1,28.5,22.0,2.5,2.2,5.9,40.0,41.8,61.4,Grassland,2,1,Herbivore,Nectarivore,Aerial,1550.98,10.82,-73.64
Campylopterus rufus,Trochilidae,Caprimulgiformes,7.1,71.0,29.0,22.5,2.5,2.7,6.5,47.8,44.4,62.8,Forest,1,1,Herbivore,Nectarivore,Aerial,31219.99,14.6,-90.71
Campylopterus villaviscensio,Trochilidae,Caprimulgiformes,7.4,65.8,31.2,26.3,2.6,2.4,6.2,44.8,40.0,60.8,Forest,1,1,Herbivore,Nectarivore,Aerial,36504.59,-2.2,-77.91
Chaetocercus astreans,Trochilidae,Caprimulgiformes,2.0,33.7,15.7,13.1,1.2,1.3,4.0,16.0,22.0,65.4,Forest,2,1,Herbivore,Nectarivore,Aerial,6505.06,10.77,-73.64
Chaetocercus berlepschi,Trochilidae,Caprimulgiformes,2.0,26.7,15.5,13.5,1.8,1.4,3.2,13.5,17.6,66.0,Forest,1,1,Herbivore,Nectarivore,Aerial,4383.38,-1.09,-80.43
Chaetocercus bombus,Trochilidae,Caprimulgiformes,6.5,28.2,15.5,11.0,1.5,1.1,3.4,20.8,16.8,58.4,Forest,2,1,Herbivore,Nectarivore,Aerial,174135.57,-2.45,-78.91
Chaetocercus heliodor,Trochilidae,Caprimulgiformes,2.0,30.3,16.1,12.6,1.3,1.1,3.8,18.0,18.8,61.7,Forest,2,1,Herbivore,Nectarivore,Aerial,113213.81,4.93,-74.34
Chaetocercus jourdanii,Trochilidae,Caprimulgiformes,3.3,35.2,14.9,11.6,1.3,1.2,4.0,21.0,23.5,66.4,Shrubland,2,1,Herbivore,Nectarivore,Aerial,46450.27,9.49,-68.33
Chaetocercus mulsant,Trochilidae,Caprimulgiformes,3.9,39.2,21.0,17.1,1.4,1.5,4.4,21.4,26.0,65.9,Forest,2,1,Herbivore,Nectarivore,Aerial,263636.46,-5.78,-75.64
Chalcostigma herrani,Trochilidae,Caprimulgiformes,5.8,67.6,16.4,10.7,1.7,1.5,6.0,50.6,42.5,62.9,Grassland,3,1,Herbivore,Nectarivore,Aerial,75956.84,-0.19,-77.87
Chalcostigma heteropogon,Trochilidae,Caprimulgiformes,6.1,70.7,15.8,11.4,1.5,1.6,6.2,58.2,43.9,62.2,Grassland,3,1,Herbivore,Nectarivore,Aerial,29042.28,6.2,-73.14
Chalcostigma olivaceum,Trochilidae,Caprimulgiformes,8.2,81.4,15.3,10.3,1.7,1.6,7.9,57.2,49.1,60.3,Grassland,3,1,Herbivore,Nectarivore,Aerial,65218.73,-13.3,-73.02
